"Texto de comentario","Satisfaccion general","fecha y hora",""
"Muy bena Atencion del personal. Muy amable y me consulto si tenía shell box para los puntos ya que no utilizo la aplicación. ","5","28/07/2023 16:08:00",""
"Impecable ","5","28/07/2023 14:08:00",""
"Siempre es una buena experiencia cargar combustible en esa estación
","5","27/07/2023 9:29:00",""
"Atención cordial y profesional 
Atención sin demoras
Comodidad de las instalaciones ","5","28/07/2023 7:31:00",""
"El empleado era muy pero muy atento y dispuesto a ayudarme","5","27/07/2023 16:15:00",""
"Atencion de la persona que me atendio fue muy buena!","5","27/07/2023 12:48:00",""
"Por la atención, la variedad y calidad de los productos, aunque realmente no pude pagar con la app, dado que no me envían el código de verificación, por ende no puedo utilizar ese método de pago. Gracias ","5","25/07/2023 21:04:00",""
"Muy buena atención del playero
Lo negativo que habian solo 2.playeros para una estación de servicio grande con 8 surtidores","5","26/07/2023 16:29:00",""
"Atención del personal ","5","22/07/2023 12:20:00",""
"personal siempre dispuesto a atender y con buena presencia y con sonrisas. !!!","5","26/07/2023 14:28:00",""
"Cargo siempre por la calidad de los productos y la atención","5","26/07/2023 14:05:00",""
"Muy buena atención...! Rápida y gentil... Cero problemas..! ","5","22/07/2023 15:51:00",""
"Excelente actitud del empleado 
Rapidez en la atención 
Cercanía a mi casa 
","5","24/07/2023 20:39:00",""
"Todo OK. ","5","24/07/2023 11:54:00",""
"Me gustan los productos y la buena atención ","5","22/07/2023 20:38:00",""
"Por rapida atencion, amabilidad y respeto","5","22/07/2023 8:11:00",""
"Pocos playeros","4","20/07/2023 17:43:00",""
"Rapido bien atendido dezcuento 10%","5","20/07/2023 21:09:00",""
"Siempre me atienden bien me ofrecen revisar fluidos y el trato es cordial
la calidad la sigo desde hace mucho años
","5","20/07/2023 15:05:00",""
"Se tardo mucho en atender ","5","20/07/2023 8:28:00",""
"Muy buena atención","5","20/07/2023 20:34:00",""
"Celeridad en la atención. 
Gentileza y amabilidad del personal de servicio. 
Calidad de los Productos. ","5","20/07/2023 14:00:00",""
"la atención de los empleados es muy buena","5","19/07/2023 19:15:00",""
"Atencion rapida,cordial y eficiente","5","19/07/2023 19:02:00",""
"Deberían aplicar el descuento de los Miércoles de forma automática, es bastante mala leche tener que seleccionarlo desde la app.","5","19/07/2023 16:54:00",""
"Rapidez, cordialidad y buena atención.","5","19/07/2023 15:11:00",""
"ágil eficiente y rápido ","5","19/07/2023 7:04:00",""
"Estuve a las 19 hs y justo estaba el camión de shell descargando combustible y en consecuencia más de la mitad de la estación estaba inhabilitada al paso con los problemas de circulación que eso conlleva.","4","18/07/2023 19:26:00",""
"Primero que a mí moto no le pongo otro combustible que Vi Power, desde el primer día. Segundo, me atienden muy bien en la Shell. Tercero, nos reunimos con amigos moteros en la Shell y salimos a rutear. ","5","18/07/2023 9:18:00",""
"La chica que me atendió a la mañana una genia. Me brindo un exelente servicio.","5","17/07/2023 10:51:00",""
"Siempre uso para mi automóvil combustibles Shell (en mi caso, V-Power). Por lo tanto, no cambio dicho combustible por otra marca. Además, siempre cargo en la misma Estación (Av. Crámer y Virrey del Pino, en Belgrano/Colegiales)... En su defecto, cuando me encuentro en otra localidad, busco incondicionalmente Estaciones Shell. Así que se darán cuenta mi predilección y fanatismo por dicho combustible. Muchas Gracias por dejar expresarme.","5","12/07/2023 21:22:00",""
"Excelente ","5","15/07/2023 19:31:00",""
"Muy efectivos en los servicios ","5","15/07/2023 10:29:00",""
"2 personas para todos los surtidores. Buscaba un determinado producto de shell, me lo cobraron sin preguntarme cuál estaba buscando o sin decirme el que tenían en esta oportunidad.","4","14/07/2023 14:59:00",""
"Muy buena atención","5","13/07/2023 12:40:00",""
"Rapidez cordialidad y promociones ","5","11/07/2023 20:47:00",""
"atención eficiente, amable y bastante rápida","5","12/07/2023 12:59:00",""
"Excelente como siempre, con la atencion y el producto","5","12/07/2023 7:18:00",""
"Atención rápida 
Operación profesional
Comodidad para el ingreso y egreso","5","12/07/2023 6:50:00",""
"Pensé que había un beneficio por cargar v-power y pagar con el app de Shell Box, no lo había.
Me enteré en la estación que solo es los miércoles y el beneficio es insignificante.  Quizás vuelva a pagar con MercadoPago.","4","11/07/2023 22:06:00",""
"Porque hasta ahora no tuve nconvenientes.","5","10/07/2023 15:10:00",""
"Atención rápida.
Buena calidad de combustible.
No me gusta la app Shell box.  ","5","09/07/2023 17:01:00",""
"Muy buena calidad de combustible y la posibilidad de cargar aire.","4","08/07/2023 13:53:00",""
"La agilidad de pago. 
La calidad de combustible. ","5","06/07/2023 17:25:00",""
"Porque el primer playero que me atendió fue a atender a otro y lavar los vidrios de ese otro.  Tuve que pedirle a otra playera que me cobrara y sacara la manguera.","4","05/07/2023 17:15:00",""
"Muy bueno el desempeño del personal
Muy atentos
Por ello siempre voy ahi","5","20/06/2023 16:54:00",""
"rápida y muy profesional atencion ofreciendo servicios varios mas allá de la carga de combustible","5","04/07/2023 19:43:00",""
"atención rápida y efectiva. Me aclaro mis dudas sobre la suma de puntos sin tener la aplicación. ","5","01/07/2023 18:00:00",""
"Por atención recibida gracias. ","5","01/07/2023 7:50:00",""
"la atención del empleado. muy buena","5","03/07/2023 19:30:00",""
"Todo ok","5","01/07/2023 23:29:00",""
"En la mejora de limpieza de los baños.verdaderamente estaban muy sucios.","5","01/07/2023 13:37:00",""
"COo comenté la falta de personal de playa, la falta de predisposición en la atencions, reconozco que fue muy educado, pero por ejemplo no ofrecio usar la aplicacion ni limpieza de vidrios","4","01/07/2023 10:32:00",""
"Rapida atención

Atención muy amable.

Una excelente experiencia cuando fui a hacer el cambio de aceite y filtros.","5","02/07/2023 17:39:00",""
"900 pesos un café con leche???
","2","02/07/2023 17:52:00",""
"Amabilidad, servicio y eespeto","5","02/07/2023 17:48:00",""
"Agilidad prolijidad eficiencia","5","02/07/2023 18:03:00",""
"Excelente la atención i por parte del playero. ","5","02/07/2023 12:14:00",""
"La meticulosidad y el profesionalismo de Maximiliano. Un gran valor que tiene Shell. El trato es siempre impecable. Cuídenlo porque lo VALE! Gracias.

Fuerte abrazo,
El Dueño del Carat '89  ","5","01/07/2023 13:11:00",""
"Cargo en esa estación hace 19 años ","2","01/07/2023 14:12:00",""
"La app shell box hace semanas que no me deja agregar mi tarjeta de crédito. Tengo la de débito pero hoy tampoco funcionaba. Tarde el doble cambiando de medio de pago.","3","29/06/2023 16:19:00",""
"Cordialidad en la atención y rapidez en atender.","5","28/06/2023 8:09:00",""
"Atención.
Servicio.
Productos.","5","28/06/2023 10:48:00",""
"fue facil rapido y eficiente","5","28/06/2023 18:08:00",""
"Es una vergüenza que para aplicar el descuento desde la app se tenga que abrir un sub menu y elegir la opcion de obtener descuento.","2","28/06/2023 14:50:00",""
"muy amable la empleada ","5","27/06/2023 14:51:00",""
"Muy buens atención del personal de playa","5","27/06/2023 11:55:00",""
"-","4","26/06/2023 19:57:00",""
"Mucho por.mejorar ","4","26/06/2023 17:46:00",""
"Tuve que esperar bastante tiempo a ser atendido sin haber demasiada demanda
Claramente faltaban dependientes
No me ofrecieron medir líquidos ni limpiar vidrios","4","25/06/2023 10:10:00",""
"I already expressed it","1","26/06/2023 6:46:00",""
"De destaca por la atención del personal!!","5","25/06/2023 10:07:00",""
"La atención del personal muy buena","5","21/06/2023 20:02:00",""
"Trato de utilizar las sedes de Shell de Deesa. Son las mejores.","5","24/06/2023 16:41:00",""
"El trato de la persona que me atendió y la rapidez de atencion","5","24/06/2023 15:41:00",""
"Buena atencion, rapidez en el servicio,","5","24/06/2023 11:06:00",""
"Mejoro mucho la limpieza de los baños.","5","24/06/2023 13:03:00",""
"La espera  solo había 2 playeros y no ofrecen limpiar los vidrios","4","23/06/2023 17:49:00",""
"Esta Estacion de Cramer y Elcano es más cara que otras","4","22/06/2023 11:45:00",""
"Por el buen trato del personal y la rapidez del servicio.","5","23/06/2023 11:44:00",""
"Llegue….
Carga de combustible solamente 
Pago con SHELL BOX, impecable 
Me fui….

Listo!!!","5","23/06/2023 7:51:00",""
"sacar turno por internet para lubricacion","4","22/06/2023 22:21:00",""
"La Señora que me atendió excelente, me ofreció limpiar los vidrios, controlar el agua, el aceite . Voy a esa Shell desde siempre más de 30 años y esa Sra que no se su nombre siempre correcta y servicial.
👏👏👏","5","22/06/2023 12:27:00",""
"Muy buena atención.
Muy cordial.
Muy ordenada, limpia e iluminada.","5","21/06/2023 22:27:00",""
"Lo que realmente me interesa es el producto. 
Normalmente voy a otra estacion de servicios.
igualmente estoy satisfecho con la atencion","5","21/06/2023 17:59:00",""
"Todo bien, pero no veo porque estar muy satisfecho, creo que estar solo satisfecho es una buena puntuación. Sólo vi destacarse el aseo del baño","4","21/06/2023 10:56:00",""
"La atención del playero. La rapidez y la educación.  Todo excelente ","5","21/06/2023 17:08:00",""
"Porque son años de cliente …","5","19/06/2023 13:39:00",""
"estuvo todo dentro de los parametros anteriores, satisfactorios","5","21/06/2023 13:06:00",""
"Excelente atención del personal","5","21/06/2023 14:01:00",""
